lon,lat,tag,predict
114.369962,35.406644,1,0
114.369916,35.406669,1,0
114.369833,35.406677,1,1
114.369735,35.406689,1,1
114.369668,35.406668,1,1
114.369675,35.406691,1,1
114.369673,35.406683,1,1
114.369657,35.406691,1,1
114.369686,35.40668,1,1
114.369782,35.406674,1,1
114.36989,35.406663,1,1
114.369968,35.406641,1,1
114.369956,35.406663,1,1
114.369951,35.406621,1,1
114.369913,35.406573,1,1
114.369913,35.406537,1,1
114.369856,35.406556,1,1
114.36982,35.406562,1,1
114.369912,35.406542,1,1
114.370018,35.406522,1,1
114.370098,35.4065,1,1
114.370114,35.406447,1,1
114.370071,35.406396,1,1
114.370088,35.406399,1,1
114.37,35.406412,1,1
114.369885,35.406426,1,1
114.369775,35.406443,1,1
114.369685,35.406457,1,1
114.369619,35.406466,1,1
114.369606,35.406466,1,1
114.369624,35.406481,1,1
114.369619,35.406477,1,1
114.369617,35.406477,1,1
114.369611,35.406477,1,1
114.369606,35.406477,1,1
114.369605,35.40648,1,1
114.369603,35.40648,1,1
114.369601,35.406483,1,1
114.369598,35.406483,1,1
114.3696,35.406483,1,1
114.3696,35.406481,1,1
114.3696,35.40648,1,1
114.369598,35.40648,1,1
114.369597,35.406481,1,1
114.369597,35.40648,1,1
114.369602,35.4065,1,1
114.369612,35.406526,1,1
114.369619,35.406559,1,1
114.369625,35.406596,1,1
114.36963,35.406619,1,1
114.369624,35.406643,1,1
114.369628,35.406637,1,1
114.369647,35.406613,1,1
114.369698,35.406592,1,1
114.369754,35.406582,1,1
114.369846,35.406562,1,1
114.369915,35.406548,1,1
114.369984,35.406534,1,1
114.370052,35.406522,1,1
114.37012,35.406511,1,1
114.370185,35.406502,1,1
114.37021,35.406497,1,1
114.370271,35.406483,1,1
114.370335,35.406471,1,1
114.370402,35.406463,1,1
114.370474,35.406452,1,1
114.370551,35.406441,1,1
114.370622,35.406433,1,1
114.370671,35.406438,1,1
114.370692,35.406453,1,1
114.370667,35.406436,1,1
114.370697,35.406452,1,1
114.370761,35.406452,1,1
114.370828,35.406443,1,1
114.37089,35.406444,1,1
114.37096,35.406435,1,1
114.371041,35.406424,1,1
114.371129,35.406408,1,1
114.371225,35.40639,1,1
114.371279,35.406379,1,1
114.371358,35.406365,1,1
114.371448,35.406351,1,1
114.371464,35.406351,1,1
114.371414,35.406362,1,1
114.371363,35.40637,1,1
114.371312,35.406377,1,1
114.371258,35.406382,1,1
114.371228,35.40639,1,1
114.371289,35.406387,1,1
114.371354,35.406393,1,1
114.371425,35.406382,1,1
114.371476,35.406374,1,1
114.371437,35.406384,1,1
114.371397,35.406387,1,1
114.371435,35.406384,1,1
114.37147,35.406385,1,1
114.37145,35.406368,1,1
114.371461,35.406373,1,1
114.37147,35.406374,1,1
114.37148,35.406381,1,1
114.371469,35.40636,1,1
114.371487,35.406399,1,1
114.371494,35.406463,1,1
114.371497,35.406477,1,1
114.371482,35.406438,1,1
114.371471,35.406402,1,1
114.37147,35.406391,1,1
114.371466,35.406446,1,1
114.371472,35.406497,1,1
114.371478,35.406481,1,1
114.371483,35.406477,1,1
114.371459,35.406506,1,1
114.371472,35.406497,1,1
114.371465,35.4065,1,1
114.371392,35.406514,1,1
114.371262,35.406533,1,1
114.371131,35.406554,1,1
114.370999,35.406579,1,1
114.370894,35.406595,1,1
114.37075,35.406613,1,1
